city,xiaoqu_id,xiaoqu_name,ershoufang_id,ershoufang_title,ershoufang_href,area_sqm,total_selling_price,unit_selling_price,watchers,visits,post_days,facing,huxing,floor,furbishing,elevator,year
sh,5011000014141,中远两湾城,107000235055,精致户型+有露台+品质二期+两个卫生间都是明的,https://sh.lianjia.com/ershoufang/107000235055.html,118.7,810.0,68240.0,82,9,一年前,西南,3室2厅,低楼层(共23层),精装,有电梯,2002
sh,5011000014141,中远两湾城,107100139817,四期景观大一房 业主置换已买好 诚意出售,https://sh.lianjia.com/ershoufang/107100139817.html,69.56,550.0,79069.0,231,0,10个月以前,东南,1室2厅,低楼层(共34层),精装,有电梯,2006
sh,5011000014141,中远两湾城,107100510417,小区花园高层南北通，不靠轻轨不靠马路，满五唯一好房,https://sh.lianjia.com/ershoufang/107100510417.html,132.23,880.0,66551.0,146,26,6个月以前,南北,3室2厅,中楼层(共32层),精装,有电梯,2002
sh,5011000014141,中远两湾城,107100507794,诚意出售全南景观一房 自住保养 全明景观 户型方正,https://sh.lianjia.com/ershoufang/107100507794.html,63.14,520.0,82357.0,75,1,6个月以前,西南,1室2厅,低楼层(共34层),其他,有电梯,2005
sh,5011000014141,中远两湾城,107101023094,精装修 户型正 带外阳台 满五唯一 采光好 诚意出售,https://sh.lianjia.com/ershoufang/107101023094.html,77.32,610.0,78893.0,20,4,8天以前,南,1室2厅,高楼层(共32层),精装,有电梯,2006
sh,5011000014141,中远两湾城,107101022218,店长推荐中远两湾城大三房业主诚意出售房型正气景观,https://sh.lianjia.com/ershoufang/107101022218.html,131.57,790.0,60045.0,101,12,8天以前,东南,3室2厅,低楼层(共34层),精装,有电梯,2002
sh,5011000014141,中远两湾城,107001824065,两湾城东二期+在售仅存高区三房+拎包入住+同户型ZYXJB,https://sh.lianjia.com/ershoufang/107001824065.html,130.71,919.0,70309.0,147,11,一年前,南,3室2厅,高楼层(共34层),精装,有电梯,2002
sh,5011000014141,中远两湾城,107101036664,沿河一排 视野开阔 采光充足 14年新装修 满五唯一,https://sh.lianjia.com/ershoufang/107101036664.html,100.7,730.0,72493.0,26,14,4天以前,南北,2室2厅,低楼层(共33层),其他,有电梯,2006
sh,5011000014141,中远两湾城,107100609586,沿河一排，正看苏州河梦清园。位置安静，不靠轻轨马路,https://sh.lianjia.com/ershoufang/107100609586.html,97.92,730.0,74551.0,54,4,5个月以前,南,2室2厅,低楼层(共30层),精装,有电梯,2003
sh,5011000014141,中远两湾城,107000237761,南北通，高区俯视小区花园，视野开阔，诚意出售,https://sh.lianjia.com/ershoufang/107000237761.html,134.22,850.0,63329.0,141,0,一年前,南,3室2厅,高楼层(共33层),简装,有电梯,2001
sh,5011000014141,中远两湾城,107100655758,位置安静，南北通户型，高区采光视野好，随时看房,https://sh.lianjia.com/ershoufang/107100655758.html,124.49,840.0,67476.0,37,15,5个月以前,南北,3室2厅,高楼层(共35层),精装,有电梯,2002
sh,5011000014141,中远两湾城,107100612014,笋盘推荐+户型方正+品味楼层+诚意出售！,https://sh.lianjia.com/ershoufang/107100612014.html,75.45,590.0,78198.0,143,19,5个月以前,南,1室2厅,低楼层(共34层),精装,有电梯,2006
sh,5011000014141,中远两湾城,107100117096,此房，位置安静，户型正气，视野开阔，采光充足，值得,https://sh.lianjia.com/ershoufang/107100117096.html,130.7,865.0,66183.0,68,37,11个月以前,南北,3室2厅,中楼层(共34层),毛坯,有电梯,2002
