2,时时乐西餐厅,3053608,Sizzler时时乐西餐厅(国瑞购物中心店),四星商户,http://www.dianping.com/shop/3053608#comment,
2,时时乐西餐厅,19566255,Sizzler时时乐西餐厅(长楹天街购物中心店),四星商户,http://www.dianping.com/shop/19566255#comment,
2,时时乐西餐厅,9031041,Sizzler时时乐西餐厅(凯德晶品购物中心店),四星商户,http://www.dianping.com/shop/9031041#comment,
2,时时乐西餐厅,10336820,Sizzler时时乐西餐厅(西直门凯德Mall店),四星商户,http://www.dianping.com/shop/10336820#comment,
2,时时乐西餐厅,582502,Sizzler时时乐西餐厅(东方广场店),四星商户,http://www.dianping.com/shop/582502#comment,
2,时时乐西餐厅,69801033,Sizzler时时乐西餐厅(欧美汇购物中心店),四星商户,http://www.dianping.com/shop/69801033#comment,
2,时时乐西餐厅,1940767,Sizzler时时乐西餐厅(望京凯德Mall店),四星商户,http://www.dianping.com/shop/1940767#comment,
2,时时乐西餐厅,6302249,Sizzler时时乐西餐厅(华联万柳店),四星商户,http://www.dianping.com/shop/6302249#comment,
2,时时乐西餐厅,67423133,Sizzler时时乐西餐厅(爱琴海购物公园店),四星商户,http://www.dianping.com/shop/67423133#comment,
10,时时乐西餐厅,14182453,sizzler时时乐西餐厅(南开大悦城店),准五星商户,http://www.dianping.com/shop/14182453#comment,
10,时时乐西餐厅,92353117,sizzler时时乐西餐厅(天河城店),准五星商户,http://www.dianping.com/shop/92353117#comment,
129,时时乐西餐厅,63137501,时时乐,该商户暂无星级,http://www.dianping.com/shop/63137501/review,
