hz,上城,南星,33,33
hz,上城,四季青,59,59
hz,上城,城站,38,38
hz,上城,复兴,30,30
hz,上城,望江,13,13
hz,上城,清波,81,83
hz,上城,清泰,57,57
hz,上城,湖滨,110,109
hz,上城,潮鸣,79,79
hz,上城,西湖景区,17,17
hz,上城,近江,47,47
hz,上城,雄镇楼,33,33
hz,上城,鼓楼,74,74
hz,下城,三塘,81,81
hz,下城,三里亭,58,58
hz,下城,丝绸城,14,14
hz,下城,众安桥,42,42
hz,下城,体育场路,14,14
hz,下城,半山,45,45
hz,下城,和平,18,18
hz,下城,天水,61,61
hz,下城,建国北路,46,46
hz,下城,德胜东,17,17
hz,下城,朝晖,64,65
hz,下城,武林,69,71
hz,下城,流水苑,49,48
hz,下城,潮鸣,79,79
hz,下城,石桥,45,45
hz,下城,西湖景区,17,17
hz,下城,长庆,39,39
hz,下城,黄龙,120,120
hz,下沙,None,0,0
hz,临安,临安,203,210
hz,临安,未来科技城,141,146
hz,余杭,万达广场,27,27
hz,余杭,三墩,96,96
hz,余杭,临安,203,210
hz,余杭,临平,325,325
hz,余杭,乔司,30,30
hz,余杭,九堡,89,89
hz,余杭,仁和,15,15
hz,余杭,勾庄,18,18
hz,余杭,半山,45,45
hz,余杭,塘栖,48,50
hz,余杭,小和山,25,25
hz,余杭,崇贤,29,29
hz,余杭,工业园北,13,13
hz,余杭,星桥,47,48
hz,余杭,未来科技城,141,146
hz,余杭,瓶窑,30,30
hz,余杭,留下,6,6
hz,余杭,翡翠城,35,35
hz,余杭,良渚,78,78
hz,余杭,西溪,106,105
hz,余杭,闲林,71,71
hz,大江东,大江东,57,57
hz,大江东,海宁,2,2
hz,富阳,富阳,170,173
hz,富阳,未来科技城,141,146
hz,富阳,西湖景区,17,17
hz,富阳,转塘,46,46
hz,建德,建德,15,15
hz,拱墅,丁桥,64,64
hz,拱墅,万达广场,27,928
hz,拱墅,三塘,81,697
hz,拱墅,三墩,96,96
hz,拱墅,信义坊,66,66
hz,拱墅,勾庄,18,18
hz,拱墅,半山,45,45
hz,拱墅,和睦,46,46
hz,拱墅,大关,51,51
hz,拱墅,德胜,21,21
hz,拱墅,拱宸桥,56,56
hz,拱墅,桥西,52,52
hz,拱墅,湖墅,92,92
hz,拱墅,申花,103,103
hz,拱墅,石桥,45,45
hz,桐庐,桐庐,33,33
hz,江干,丁桥,64,64
hz,江干,三塘,81,81
hz,江干,三里亭,58,58
hz,江干,九堡,89,89
hz,江干,半山,45,45
hz,江干,华家池,21,21
hz,江干,南肖埠,43,43
hz,江干,四季青,59,59
hz,江干,城东新城,22,22
hz,江干,大学城北,10,10
hz,江干,工业园北,13,13
hz,江干,工业园南,10,10
hz,江干,建国北路,46,46
hz,江干,景芳,48,48
hz,江干,沿江北,14,14
hz,江干,沿江南,16,16
hz,江干,流水苑,49,48
hz,江干,海宁,2,2
hz,江干,火车东站,30,30
hz,江干,石桥,45,45
hz,江干,笕桥,20,20
hz,江干,采荷,54,54
hz,江干,金沙湖,47,47
hz,江干,钱江新城,51,51
hz,江干,闸弄口,33,33
hz,江干,高教园区东,13,13
hz,江干,高教园区西,28,28
hz,淳安,淳安,36,37
hz,滨江,奥体,13,14
hz,滨江,彩虹城,49,49
hz,滨江,浦沿,46,46
hz,滨江,滨江区政府,77,77
hz,滨江,白马湖,17,17
hz,滨江,西兴,37,37
hz,滨江,长河,49,49
hz,滨江,闻堰,21,21
hz,萧山,义桥,16,16
hz,萧山,南部卧城,50,50
hz,萧山,大江东,57,57
hz,萧山,奥体,13,14
hz,萧山,浦沿,46,46
hz,萧山,湘湖,51,51
hz,萧山,白马湖,17,17
hz,萧山,萧山市区,285,285
hz,萧山,萧山开发区,99,99
hz,萧山,萧山新城区,93,93
hz,萧山,西兴,37,37
hz,萧山,钱江世纪城,73,73
hz,萧山,闻堰,21,21
hz,西湖,三墩,96,96
hz,西湖,之江,33,33
hz,西湖,九莲,33,33
hz,西湖,古荡,46,46
hz,西湖,嘉绿,1035,39
hz,西湖,学军,47,47
hz,西湖,小和山,25,25
hz,西湖,文一西路,73,73
hz,西湖,文三,55,55
hz,西湖,文三西路,96,97
hz,西湖,文教,159,159
hz,西湖,清波,81,83
hz,西湖,申花,103,103
hz,西湖,留下,6,6
hz,西湖,翠苑,62,62
hz,西湖,良渚,78,78
hz,西湖,西湖景区,17,17
hz,西湖,西溪,106,105
hz,西湖,转塘,46,46
hz,西湖,黄龙,120,120
