city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url,review_date
gz,天河,岑村,9,http://gz.lianjia.com/xiaoqu/cencun/,2019-03-11
gz,天河,车陂,32,http://gz.lianjia.com/xiaoqu/chebei/,2019-03-11
gz,天河,长兴,25,http://gz.lianjia.com/xiaoqu/changxing1/,2019-03-11
gz,天河,东风东,43,http://gz.lianjia.com/xiaoqu/dongfengdong/,2019-03-11
gz,天河,大沙地,50,http://gz.lianjia.com/xiaoqu/dashadi/,2019-03-11
gz,天河,东圃,108,http://gz.lianjia.com/xiaoqu/dongpu/,2019-03-11
gz,天河,二沙岛,9,http://gz.lianjia.com/xiaoqu/ershadao/,2019-03-11
gz,天河,高唐,2,http://gz.lianjia.com/xiaoqu/gaotang/,2019-03-11
gz,天河,华景新城,72,http://gz.lianjia.com/xiaoqu/huajingxincheng/,2019-03-11
gz,天河,黄埔区府,71,http://gz.lianjia.com/xiaoqu/huangpuqufu/,2019-03-11
gz,天河,黄村,17,http://gz.lianjia.com/xiaoqu/huangcun/,2019-03-11
gz,天河,汇景新城,20,http://gz.lianjia.com/xiaoqu/huijingxincheng/,2019-03-11
gz,天河,环市东,39,http://gz.lianjia.com/xiaoqu/huanshidong/,2019-03-11
gz,天河,黄花岗,31,http://gz.lianjia.com/xiaoqu/huanghuagang/,2019-03-11
gz,天河,京溪,30,http://gz.lianjia.com/xiaoqu/jingxi1/,2019-03-11
gz,天河,金融城,1,http://gz.lianjia.com/xiaoqu/jinrongcheng1/,2019-03-11
gz,天河,科学城,50,http://gz.lianjia.com/xiaoqu/kexuecheng/,2019-03-11
gz,天河,林和,51,http://gz.lianjia.com/xiaoqu/linhe/,2019-03-11
gz,天河,龙洞,19,http://gz.lianjia.com/xiaoqu/longdong/,2019-03-11
gz,天河,龙口东,28,http://gz.lianjia.com/xiaoqu/longkoudong/,2019-03-11
gz,天河,龙口西,26,http://gz.lianjia.com/xiaoqu/longkouxi/,2019-03-11
gz,天河,梅花园,25,http://gz.lianjia.com/xiaoqu/meihuayuan/,2019-03-11
gz,天河,南湖,50,http://gz.lianjia.com/xiaoqu/nanhu5/,2019-03-11
gz,天河,石牌,55,http://gz.lianjia.com/xiaoqu/shipai1/,2019-03-11
gz,天河,水荫,41,http://gz.lianjia.com/xiaoqu/shuiyin/,2019-03-11
gz,天河,沙太北,16,http://gz.lianjia.com/xiaoqu/shataibei/,2019-03-11
gz,天河,沙太南,52,http://gz.lianjia.com/xiaoqu/shatainan/,2019-03-11
gz,天河,沙河,89,http://gz.lianjia.com/xiaoqu/shahe1/,2019-03-11
gz,天河,天河公园,81,http://gz.lianjia.com/xiaoqu/tianhegongyuan/,2019-03-11
gz,天河,同和,57,http://gz.lianjia.com/xiaoqu/tonghe1/,2019-03-11
gz,天河,棠下,47,http://gz.lianjia.com/xiaoqu/tangxia1/,2019-03-11
gz,天河,淘金,69,http://gz.lianjia.com/xiaoqu/taojin/,2019-03-11
gz,天河,天河南,55,http://gz.lianjia.com/xiaoqu/tianhenan/,2019-03-11
gz,天河,体育中心,45,http://gz.lianjia.com/xiaoqu/tiyuzhongxin/,2019-03-11
gz,天河,天润路,42,http://gz.lianjia.com/xiaoqu/tianrunlu/,2019-03-11
gz,天河,天河客运站,6,http://gz.lianjia.com/xiaoqu/tianhekeyunzhan/,2019-03-11
gz,天河,五羊新城,74,http://gz.lianjia.com/xiaoqu/wuyangxincheng/,2019-03-11
gz,天河,五山,45,http://gz.lianjia.com/xiaoqu/wushan/,2019-03-11
gz,天河,杨箕,46,http://gz.lianjia.com/xiaoqu/yangji/,2019-03-11
gz,天河,鱼珠,16,http://gz.lianjia.com/xiaoqu/yuzhu/,2019-03-11
gz,天河,员村,92,http://gz.lianjia.com/xiaoqu/yuancun/,2019-03-11
gz,天河,粤垦,45,http://gz.lianjia.com/xiaoqu/yueken/,2019-03-11
gz,天河,燕塘,32,http://gz.lianjia.com/xiaoqu/yantang/,2019-03-11
gz,天河,珠江新城东,56,http://gz.lianjia.com/xiaoqu/zhujiangxinchengdong/,2019-03-11
gz,天河,珠江新城西,32,http://gz.lianjia.com/xiaoqu/zhujiangxinchengxi/,2019-03-11
gz,天河,珠江新城中,20,http://gz.lianjia.com/xiaoqu/zhujiangxinchengzhong/,2019-03-11
gz,越秀,北京路,116,http://gz.lianjia.com/xiaoqu/beijinglu/,2019-03-11
gz,越秀,东风西,11,http://gz.lianjia.com/xiaoqu/dongfengxi/,2019-03-11
gz,越秀,东风东,43,http://gz.lianjia.com/xiaoqu/dongfengdong/,2019-03-11
