city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url,review_date
hui,惠城,东平,0,http://hui.lianjia.com/xiaoqu/dongping3/,2019-03-11
hui,惠城,河南岸,0,http://hui.lianjia.com/xiaoqu/henanan/,2019-03-11
hui,惠城,惠城区,810,http://hui.lianjia.com/xiaoqu/huichengqu/,2019-03-11
hui,惠城,江北,0,http://hui.lianjia.com/xiaoqu/jiangbei2/,2019-03-11
hui,惠城,水口,0,http://hui.lianjia.com/xiaoqu/shuikou/,2019-03-11
hui,惠城,小金口,0,http://hui.lianjia.com/xiaoqu/xiaojinkou/,2019-03-11
hui,惠阳,大亚湾西区,109,http://hui.lianjia.com/xiaoqu/dayawanxiqu/,2019-03-11
hui,惠阳,淡水,184,http://hui.lianjia.com/xiaoqu/danshui/,2019-03-11
hui,惠阳,惠城区,810,http://hui.lianjia.com/xiaoqu/huichengqu/,2019-03-11
hui,惠阳,惠阳区,51,http://hui.lianjia.com/xiaoqu/huiyangqu/,2019-03-11
hui,惠阳,南站新城,176,http://hui.lianjia.com/xiaoqu/nanzhanxincheng/,2019-03-11
hui,大亚湾,大亚湾西区,109,http://hui.lianjia.com/xiaoqu/dayawanxiqu/,2019-03-11
hui,大亚湾,淡水,184,http://hui.lianjia.com/xiaoqu/danshui/,2019-03-11
hui,大亚湾,大亚湾中心区,44,http://hui.lianjia.com/xiaoqu/dayawanzhongxinqu/,2019-03-11
hui,大亚湾,大亚湾区,155,http://hui.lianjia.com/xiaoqu/dayawanqu/,2019-03-11
hui,大亚湾,南站新城,176,http://hui.lianjia.com/xiaoqu/nanzhanxincheng/,2019-03-11
hui,惠东,惠东县,54,http://hui.lianjia.com/xiaoqu/huidongxian/,2019-03-11
