city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url
sz,罗湖区,布心, 116 ,http://sz.lianjia.com/xiaoqu/buxin/
sz,罗湖区,百仕达, 60 ,http://sz.lianjia.com/xiaoqu/baishida/
sz,罗湖区,翠竹, 67 ,http://sz.lianjia.com/xiaoqu/cuizhu/
sz,罗湖区,春风路, 93 ,http://sz.lianjia.com/xiaoqu/chunfenglu/
sz,罗湖区,东门, 106 ,http://sz.lianjia.com/xiaoqu/dongmen/
sz,罗湖区,地王, 140 ,http://sz.lianjia.com/xiaoqu/diwang/
sz,罗湖区,洪湖, 36 ,http://sz.lianjia.com/xiaoqu/honghu/
sz,罗湖区,黄贝岭, 90 ,http://sz.lianjia.com/xiaoqu/huangbeiling/
sz,罗湖区,罗湖口岸, 38 ,http://sz.lianjia.com/xiaoqu/luohukouan/
sz,罗湖区,莲塘, 95 ,http://sz.lianjia.com/xiaoqu/liantang/
sz,罗湖区,螺岭, 69 ,http://sz.lianjia.com/xiaoqu/luoling/
sz,罗湖区,清水河, 29 ,http://sz.lianjia.com/xiaoqu/qingshuihe/
sz,罗湖区,笋岗, 57 ,http://sz.lianjia.com/xiaoqu/sungang/
sz,罗湖区,万象城, 48 ,http://sz.lianjia.com/xiaoqu/wanxiangcheng/
sz,罗湖区,新秀, 52 ,http://sz.lianjia.com/xiaoqu/xinxiu/
sz,罗湖区,银湖, 60 ,http://sz.lianjia.com/xiaoqu/yinhu/
sz,福田区,八卦岭, 24 ,http://sz.lianjia.com/xiaoqu/bagualing/
sz,福田区,百花, 19 ,http://sz.lianjia.com/xiaoqu/baihua/
sz,福田区,车公庙, 63 ,http://sz.lianjia.com/xiaoqu/chegongmiao/
sz,福田区,赤尾, 14 ,http://sz.lianjia.com/xiaoqu/chiwei/
sz,福田区,福田保税区, 22 ,http://sz.lianjia.com/xiaoqu/futianbaoshuiqu/
sz,福田区,福田中心, 53 ,http://sz.lianjia.com/xiaoqu/futianzhongxin/
sz,福田区,皇岗, 100 ,http://sz.lianjia.com/xiaoqu/huanggang/
sz,福田区,黄木岗, 19 ,http://sz.lianjia.com/xiaoqu/huangmugang/
sz,福田区,华强北, 109 ,http://sz.lianjia.com/xiaoqu/huaqiangbei/
sz,福田区,华强南, 99 ,http://sz.lianjia.com/xiaoqu/huaqiangnan/
sz,福田区,景田, 81 ,http://sz.lianjia.com/xiaoqu/jingtian/
sz,福田区,莲花, 66 ,http://sz.lianjia.com/xiaoqu/lianhua/
sz,福田区,梅林, 164 ,http://sz.lianjia.com/xiaoqu/meilin/
sz,福田区,石厦, 51 ,http://sz.lianjia.com/xiaoqu/shixia/
sz,福田区,上下沙, 19 ,http://sz.lianjia.com/xiaoqu/shangxiasha/
sz,福田区,沙尾, 12 ,http://sz.lianjia.com/xiaoqu/shawei/
sz,福田区,上步, 16 ,http://sz.lianjia.com/xiaoqu/shangbu/
