city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url,review_date
aq,大观区,德宽路,24,http://aq.lianjia.com/xiaoqu/dekuanlu/,2019-03-11
aq,大观区,花亭,12,http://aq.lianjia.com/xiaoqu/huating1/,2019-03-11
aq,大观区,怀宁县,14,http://aq.lianjia.com/xiaoqu/huainingxian1/,2019-03-11
aq,大观区,龙山路,23,http://aq.lianjia.com/xiaoqu/longshanlu/,2019-03-11
aq,大观区,菱北,118,http://aq.lianjia.com/xiaoqu/lingbei/,2019-03-11
aq,大观区,菱湖,41,http://aq.lianjia.com/xiaoqu/linghu/,2019-03-11
aq,大观区,石化,13,http://aq.lianjia.com/xiaoqu/shihua1/,2019-03-11
aq,大观区,十里铺乡,13,http://aq.lianjia.com/xiaoqu/shilipuxiang/,2019-03-11
aq,大观区,新河,36,http://aq.lianjia.com/xiaoqu/xinhe/,2019-03-11
aq,大观区,玉琳路,15,http://aq.lianjia.com/xiaoqu/yulinlu/,2019-03-11
aq,大观区,宜城路,45,http://aq.lianjia.com/xiaoqu/yichenglu/,2019-03-11
aq,太湖县,怀宁县,14,http://aq.lianjia.com/xiaoqu/huainingxian1/,2019-03-11
aq,太湖县,潜山县,0,http://aq.lianjia.com/xiaoqu/qianshanxian1/,2019-03-11
aq,太湖县,宿松县,0,http://aq.lianjia.com/xiaoqu/susongxian1/,2019-03-11
aq,太湖县,太湖县,0,http://aq.lianjia.com/xiaoqu/taihuxian1/,2019-03-11
aq,太湖县,望江县,0,http://aq.lianjia.com/xiaoqu/wangjiangxian1/,2019-03-11
aq,太湖县,岳西县,0,http://aq.lianjia.com/xiaoqu/yuexixian1/,2019-03-11
aq,宜秀区,大桥,34,http://aq.lianjia.com/xiaoqu/daqiao/,2019-03-11
aq,宜秀区,花亭,12,http://aq.lianjia.com/xiaoqu/huating1/,2019-03-11
aq,宜秀区,怀宁县,14,http://aq.lianjia.com/xiaoqu/huainingxian1/,2019-03-11
aq,宜秀区,龙狮桥乡,37,http://aq.lianjia.com/xiaoqu/longshiqiaoxiang/,2019-03-11
aq,宜秀区,菱北,118,http://aq.lianjia.com/xiaoqu/lingbei/,2019-03-11
aq,宜秀区,老峰镇,2,http://aq.lianjia.com/xiaoqu/laofengzhen/,2019-03-11
aq,宜秀区,石化,13,http://aq.lianjia.com/xiaoqu/shihua1/,2019-03-11
