1,上岛咖啡,1893847,上岛咖啡(中山公园店),准四星商户,http://www.dianping.com/shop/1893847#comment
1,上岛咖啡,21955794,上岛咖啡(塘桥店),三星商户,http://www.dianping.com/shop/21955794#comment
1,上岛咖啡,1919485,上岛咖啡(大华店),准四星商户,http://www.dianping.com/shop/1919485#comment
1,上岛咖啡,5444564,上岛咖啡(南丹东路店),准四星商户,http://www.dianping.com/shop/5444564#comment
1,上岛咖啡,503533,上岛咖啡(金汇店),四星商户,http://www.dianping.com/shop/503533#comment
1,上岛咖啡,3578881,上岛咖啡(堡镇店),三星商户,http://www.dianping.com/shop/3578881#comment
1,上岛咖啡,506590,上岛咖啡(控江店),准四星商户,http://www.dianping.com/shop/506590#comment
1,上岛咖啡,578243,上岛咖啡(四平路店),四星商户,http://www.dianping.com/shop/578243#comment
1,上岛咖啡,2262742,上岛咖啡(五角场店),准四星商户,http://www.dianping.com/shop/2262742#comment
1,上岛咖啡,3431125,上岛咖啡(虹梅南路店),三星商户,http://www.dianping.com/shop/3431125#comment
1,上岛咖啡,56564355,上岛咖啡(广中西路店),三星商户,http://www.dianping.com/shop/56564355#comment
1,上岛咖啡,5245028,上岛咖啡(桂林路店),三星商户,http://www.dianping.com/shop/5245028#comment
1,上岛咖啡,2259289,上岛咖啡(好爱广场店),准四星商户,http://www.dianping.com/shop/2259289#comment
1,上岛咖啡,2511259,上岛咖啡(成山路店),三星商户,http://www.dianping.com/shop/2511259#comment
1,上岛咖啡,504728,上岛咖啡(仙霞店),三星商户,http://www.dianping.com/shop/504728#comment
1,上岛咖啡,18178576,上岛咖啡(真华路店),准四星商户,http://www.dianping.com/shop/18178576#comment
1,上岛咖啡,4522981,上岛咖啡(广中路店),三星商户,http://www.dianping.com/shop/4522981#comment
1,上岛咖啡,3527533,上岛咖啡(长安路店),准四星商户,http://www.dianping.com/shop/3527533#comment
1,上岛咖啡,13859000,上岛咖啡,准四星商户,http://www.dianping.com/shop/13859000#comment
